path,type,owner,dependencies,affects_test,affects_deploy,notes
__tests__/fixtures/basic-form.json,data,QA,__tests__/sample.test.ts,yes,no,Sample payload used by baseline smoke tests
__tests__/sample.test.ts,test,QA,jest,yes,no,Fixture sanity check ensuring core fields exist
__tests__/scripts/url-helper.test.ts,test,QA,"jest; scripts/url-helper.mjs",yes,no,Unit tests around URL helper behaviors and artifact writes
aa01_ui_code_audit_suspicious.csv,data,QA,reports,no,no,Historical UI audit anomalies spreadsheet for follow-up
clasprc_base64.txt,secret-template,DevOps,clasp,no,yes,Sample Base64 clasp credentials kept outside version control
depcheck.config.cjs,config,QA,depcheck,no,no,Unused dependency scan configuration
docs/codebase-overview.md,doc,Docs,n/a,no,no,Curated architecture overview for onboarding
docs/upgrade-plan.md,doc,Docs,npm outdated,no,no,Living plan for dependency upgrade sequencing
docs/upgrade-report.md,doc,Docs,reports,no,no,Snapshot of upgrade findings aggregated from CI artifacts
eslint.config.js,config,QA,"@eslint/js; @typescript-eslint; jest; playwright",yes,no,Flat ESLint configuration applied across scripts/tests
gas-deploy.mjs,script,DevOps,"googleapis; .gas-deploy.json; .clasp.json",no,yes,Apps Script API deployment orchestrator supporting multiple auth modes
get-refresh-token.mjs,script,DevOps,googleapis,no,yes,Interactive OAuth helper to capture refresh tokens for deployments
jest.config.cjs,config,QA,"ts-jest; test/setup-tests.cjs; tsconfig.json",yes,no,Primary Jest configuration enabling jsdom and coverage collection
knip.json,config,QA,knip,no,no,Unused code/exports scanning configuration
outdated.json,data,DevOps,npm outdated,no,no,Most recent outdated dependency snapshot cached from tooling
package-lock.json,lockfile,DevOps,npm,yes,yes,Lockfile ensuring deterministic installs for CI and deploy
package.json,config,DevOps,"npm scripts; jest; playwright",yes,yes,Script definitions plus toolchain metadata
playwright.config.mjs,config,QA,"@playwright/test; scripts/url-helper.mjs",yes,no,Playwright project defaults with remote/local switching logic
playwright/remote.spec.ts,test,QA,"@playwright/test; scripts/url-helper.mjs",yes,no,Remote-target RWD smoke suite gated by auth state
playwright/ui.spec.ts,test,QA,"@playwright/test; scripts/url-helper.mjs",yes,no,Local UI regression checks for Sidebar interactions
playwright/utils/openPage.ts,util,QA,"@playwright/test; scripts/url-helper.mjs",yes,no,Shared helper building target URLs and waiting for page readiness
prettier.config.cjs,config,QA,prettier,no,no,Formatting conventions for JS/TS/HTML/Markdown
reports/codebase-overview.md,doc,Docs,n/a,no,no,Archived snapshot of architecture overview for audits
reports/去重執行對照表.csv,data,Docs,n/a,no,no,Archived deduplication tracker from prior run
reports/工作流盤點報告.md,doc,Docs,n/a,no,no,Archived workflow audit from prior automation
reports/檔案定義清單.csv,data,Docs,n/a,no,no,Archived file inventory from prior automation
scripts/auto-repair.mjs,script,QA,"node:child_process",conditional,no,Retry harness for flaky commands with stop-loss guard
scripts/generate-inventory.mjs,script,DevOps,"typescript compiler API",no,no,Utility that walks repo to emit JSON inventory for audits
scripts/health-check.mjs,script,QA,"undici; scripts/url-helper.mjs",yes,yes,HTTP health probe writing artifacts for CI consumption
scripts/run-pa11y.mjs,script,QA,"pa11y; dotenv",yes,no,CLI wrapper running pa11y against remote or local Sidebar targets
scripts/url-helper.d.ts,types,QA,scripts/url-helper.mjs,yes,no,Type definitions for shared URL helper module
scripts/url-helper.mjs,util,QA,"node:fs; node:path",yes,yes,Core helper to normalize GAS_WEBAPP_URL and persist artifacts
test/setup-tests.cjs,config,QA,"@testing-library/jest-dom; jest-axe",yes,no,Extends Jest matchers for DOM and accessibility assertions
test/setup-tests.d.ts,types,QA,jest-axe,yes,no,Type augmentation for custom Jest matchers
tsconfig.json,config,DevOps,TypeScript,yes,yes,Unified TypeScript settings covering scripts, tests, Playwright, and Apps Script sources
去重執行對照表.csv,data,Docs,n/a,no,no,Current deduplication tracker produced by this audit
工作流盤點報告.md,doc,Docs,n/a,no,no,Current workflow inventory produced by this audit
新增 文字文件.txt,note,Docs,n/a,no,no,Manual command log kept for historical context
桃園市_長照給付資料庫_v1.xlsx,data,Business,DataStore.gs,no,no,Reference rate sheet consumed by Apps Script logic
檔案定義清單.csv,data,Docs,n/a,no,no,Current repository file inventory generated by this task
